
2026-03-05 12:59:45.247 [INFO] [T2] 已从内嵌 Notion 登录态读取 token_v2（尾号: ************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************m8oQ-A） | 原始路径=-
2026-03-05 12:59:45.792 [INFO] [T2] 已保存本地配置 | 原始路径=-
2026-03-05 12:59:47.863 [INFO] [T2] [12:59:47] [同步] 分区：「数据字典-芜湖APS」 [1/72] | 原始路径=数据字典-芜湖APS
2026-03-05 12:59:48.662 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E1850487202195565108619572447153372842039898} | 原始路径=数据字典-芜湖APS/建表模板 (Template)
引发的异常:“System.Runtime.InteropServices.COMException”(位于 OneNoteToNotion.dll 中)
2026-03-05 12:59:48.687 [WARN] [T2] GetPageContent 尝试 #1 COM 异常, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E1850487202195565108619572447153372842039898}, hresult=0x800706BA | 原始路径=数据字典-芜湖APS/建表模板 (Template)
2026-03-05 12:59:48.690 [INFO] [T2] 已释放 OneNote COM 实例 | 原始路径=数据字典-芜湖APS/建表模板 (Template)
2026-03-05 12:59:49.401 [INFO] [T2] 开始初始化 OneNote COM 实例（Microsoft.Office.Interop.OneNote.Application） | 原始路径=数据字典-芜湖APS/建表模板 (Template)
2026-03-05 12:59:49.739 [INFO] [T2] OneNote COM 实例初始化成功 | 原始路径=数据字典-芜湖APS/建表模板 (Template)
2026-03-05 12:59:49.870 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E1850487202195565108619572447153372842039898}, xmlLength=60498 | 原始路径=数据字典-芜湖APS/建表模板 (Template)
2026-03-05 12:59:49.882 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\建表模板 (Template)_125949_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\建表模板 (Template)_125949_semantic.txt | 原始路径=数据字典-芜湖APS/建表模板 (Template)
2026-03-05 12:59:49.884 [INFO] [T2] [12:59:48] [同步]   页面：「建表模板 (Template)」 → 28 个内容块 [2/72] | 原始路径=数据字典-芜湖APS/建表模板 (Template)
2026-03-05 12:59:51.295 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398100} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模
2026-03-05 12:59:51.309 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398100}, xmlLength=1353 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模
2026-03-05 12:59:51.312 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_基础数据_工厂建模_125951_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_基础数据_工厂建模_125951_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模
2026-03-05 12:59:51.314 [INFO] [T2] [12:59:51] [同步]   页面：「01_基础数据_工厂建模」 → 0 个内容块 [3/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模
2026-03-05 12:59:52.263 [INFO] [T2] [12:59:52] [写入完成] 「建表模板 (Template)」 28 个内容块已写入 | 原始路径=数据字典-芜湖APS/建表模板 (Template)
